2023-12-12 01:53:02.649436	https://www.encodeproject.org/report/?type=Annotation&encyclopedia_version=current&annotation_type=candidate+Cis-Regulatory+Elements&annotation_type=chromatin+state&annotation_type=representative+DNase+hypersensitivity+sites&status=released&software_used.software.name=chromhmm&limit=all
ID	Accession	Targets	Target	Biosample term name	Description	Lab	Project	Status	Organism	Life stage	Age	Age units	Software used	Annotation treatment
/annotations/ENCSR395NQX/	ENCSR395NQX			left kidney	ChromHMM 18-state model of BSS01129: left kidney female embryo (110 days) from donor(s) ENCDO087TLK	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	110	day	chromhmm	
/annotations/ENCSR974TXE/	ENCSR974TXE			RKO	ChromHMM 18-state model of BSS01535: RKO from donor(s) ENCDO035MMY	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR486YMP/	ENCSR486YMP			right renal pelvis	ChromHMM 18-state model of BSS01534: right renal pelvis male embryo (120 days) from donor(s) ENCDO327QNA	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	120	day	chromhmm	
/annotations/ENCSR899ZCG/	ENCSR899ZCG			small intestine	ChromHMM 18-state model of BSS01600: small intestine male embryo (105 days) from donor(s) ENCDO171HMD	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	105	day	chromhmm	
/annotations/ENCSR675PGW/	ENCSR675PGW			stomach smooth muscle	ChromHMM 18-state model of BSS01660: stomach smooth muscle male adult (59 years) from donor(s) ENCDO884GGM	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	59	year	chromhmm	
/annotations/ENCSR867PUL/	ENCSR867PUL			liver	ChromHMM 18-state model of BSS01164: liver female embryo (101 day) and female embryo (113 days) from donor(s) ENCDO060OTP,ENCDO987XTQ	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR189CQN/	ENCSR189CQN			SK-N-MC	ChromHMM 18-state model of BSS01559: SK-N-MC from donor(s) ENCDO000ABC	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR285BWB/	ENCSR285BWB			skeletal muscle myoblast	ChromHMM 18-state model of BSS01573: skeletal muscle myoblast from donor(s) ENCDO094AAA	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR681WRM/	ENCSR681WRM			T-cell	ChromHMM 18-state model of BSS01684: T-cell from donor(s) ENCDO139RPR,ENCDO269ABJ,ENCDO460ZVO,ENCDO685OXD,ENCDO727HSS	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR027PMZ/	ENCSR027PMZ			substantia nigra	ChromHMM 18-state model of BSS01676: substantia nigra male adult (81 year) from donor(s) ENCDO980BZD	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	81	year	chromhmm	
/annotations/ENCSR884UXZ/	ENCSR884UXZ			C803	ChromHMM 18-state model of BSS01392: olfactory neurosphere cell line from donor(s) ENCDO326AAA	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR203ZKV/	ENCSR203ZKV			omental fat pad	ChromHMM 18-state model of BSS01393: omental fat pad female adult (51 year) from donor(s) ENCDO271OUW	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	51	year	chromhmm	
/annotations/ENCSR205EAE/	ENCSR205EAE			foreskin keratinocyte	ChromHMM 18-state model of BSS00354: foreskin keratinocyte male newborn from donor(s) ENCDO047TBB,ENCDO666YUN,ENCDO686OPO	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR643AGE/	ENCSR643AGE			CD4-positive, alpha-beta memory T cell	ChromHMM 18-state model of BSS00183: CD4-positive_ alpha-beta memory T cell from donor(s) ENCDO194EHQ_ENCDO688UWB_ENCDO779YRY_ENCDO922CEJ	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR886WUC/	ENCSR886WUC			pancreas	ChromHMM 18-state model of BSS01407: pancreas male adult (34 years) from donor(s) ENCDO058AAA	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	34	year	chromhmm	
/annotations/ENCSR882QDN/	ENCSR882QDN			CD8-positive, alpha-beta memory T cell	ChromHMM 18-state model of BSS00193: CD8-positive_ alpha-beta memory T cell from donor(s) ENCDO688UWB_ENCDO922CEJ	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR953MHF/	ENCSR953MHF			CD8-positive, alpha-beta T cell	ChromHMM 18-state model of BSS00197: CD8-positive_ alpha-beta T cell male adult (21 year) from donor(s) ENCDO123NFT_ENCDO190HXC	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR527TZA/	ENCSR527TZA			parathyroid adenoma	ChromHMM 18-state model of BSS01411: Parathyroid adenoma male adult (62 years) from donor(s) ENCDO952UGS	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	62	year	chromhmm	
/annotations/ENCSR238DGV/	ENCSR238DGV			HuH-7	ChromHMM 18-state model of BSS00718: HuH-7 from donor(s) ENCDO000ACU	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR951HKE/	ENCSR951HKE			common myeloid progenitor, CD34-positive	ChromHMM 18-state model of BSS00233: common myeloid progenitor_ CD34-positive female adult (50 years) from donor(s) ENCDO957RHA	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	50	year	chromhmm	
/annotations/ENCSR489CFN/	ENCSR489CFN			HUES6	ChromHMM 18-state model of BSS00716: HUES6 from donor(s) ENCDO734LQV	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR264AKX/	ENCSR264AKX			HUES64	ChromHMM 18-state model of BSS00717: HUES64 from donor(s) ENCDO424FTP	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR351PGI/	ENCSR351PGI			hindlimb muscle	ChromHMM 18-state model of BSS00700: hindlimb muscle male embryo (120 days) from donor(s) ENCDO249ZDZ	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	120	day	chromhmm	
/annotations/ENCSR340RNY/	ENCSR340RNY			Peyer's patch	ChromHMM 18-state model of BSS01426: Peyer's patch female adult (53 years) from donor(s) ENCDO793LXB	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	53	year	chromhmm	
/annotations/ENCSR184VZN/	ENCSR184VZN			Peyer's patch	ChromHMM 18-state model of BSS01427: Peyer's patch male adult (37 years) from donor(s) ENCDO271OUW,ENCDO845WKR	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR994UGY/	ENCSR994UGY			common myeloid progenitor, CD34-positive	ChromHMM 18-state model of BSS00230: common myeloid progenitor_ CD34-positive female from donor(s) ENCDO950XTR	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR675JSW/	ENCSR675JSW			thymus	ChromHMM 18-state model of BSS01823: thymus female embryo (147 days) from donor(s) ENCDO863JOG	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	147	day	chromhmm	
/annotations/ENCSR495YQD/	ENCSR495YQD			thymus	ChromHMM 18-state model of BSS01820: thymus female embryo (110 days) from donor(s) ENCDO711IWZ	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	110	day	chromhmm	
/annotations/ENCSR584JLI/	ENCSR584JLI			MG63	ChromHMM 18-state model of BSS01267: MG63 from donor(s) ENCDO987OSE	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR693ZLR/	ENCSR693ZLR			thymus	ChromHMM 18-state model of BSS01819: thymus female embryo (105 days) from donor(s) ENCDO718LHH	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	105	day	chromhmm	
/annotations/ENCSR589BQN/	ENCSR589BQN			midbrain	ChromHMM 18-state model of BSS01270: midbrain male adult (78 years) and male adult (84 years) from donor(s) ENCDO240JUB,ENCDO317XRR	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR635PYI/	ENCSR635PYI			mammary epithelial cell	ChromHMM 18-state model of BSS01213: mammary epithelial cell female adult (50 years) from donor(s) ENCDO830BUW	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	50	year	chromhmm	
